meeting,block_id,votes,of,models_voting_yes,speaker,start,text_snippet
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",33,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_07,1649.15,"in Susie Gomez 100 block the north for a divorce Street. I just wanted to implement for the public, not so much for you guys. What Janet had mentioned, $10 million of the Josh Shapiro fund that was granted to municipalities should have been used. As Tina Campbell mentioned, she's relying on the inco"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",36,1,5,ministral-8b,SPEAKER_05,1791.91,"I just wanted to first inform everyone that, just like President Veque said, there will be no comments during the time that Chief Mendez is doing his presentation. There has been some drastic changes, and I picked that up when Councilor Arroyo ran the budget meeting where there was no comments from "
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",44,1,5,ministral-8b,SPEAKER_03,3426.12,"First, the most recent incident that most people are here for with the March 2nd, given that this involved minors, is there a separate use of force policy and is there a separate reporting standard when it involves minors?"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",48,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_03,3476.36,"Accessibly. Not the reports. Only quarter fours. Well, given that these are quarterly, can we have request reports quarterly to the council, similar to the finance quarterly reports, to kind of go over the use of force within the quarter and the findings? Would that be something that council could r"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",50,1,5,phi-4,SPEAKER_03,3509.2,What incidents happened within this quarter? What were the findings and just a report to counsel?
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",52,2,5,gemma-4-4b;ministral-8b,SPEAKER_03,3521.78,"My last question is, given that you stated that the review is viewed in the lens of an officer that is fully trained, is there any consideration in if this officer had previous incidents or his past or anything like that?"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",55,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_17,3648.43,"Thank you, Councilor Diaz. Thank you, Chief Mendez, for the presentation. uh what immediate steps is the department willing to take in order to increase transparency and"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",60,2,5,gemma-4-4b;phi-4,SPEAKER_06,3860.78,no further question thank you yes if i may she was going to speak first i have one question um i want to just clarify on the the latest update of statistics for use of force in the most recent quarter that's available just to put it in perspective so that was the slide and it's available on the poli
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",63,2,5,gemma-4-4b;phi-4,SPEAKER_02,3922.38,of the arrest so thank you thank you councillor ds um thank you for the report i appreciate it um a couple questions uh regarding to one of the things you mentioned was um after an incident happens um you mentioned the case law that occurred well what type of coaching happens after or does any coach
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",64,1,5,phi-4,SPEAKER_12,3960.95,of the the post review things that we can do coaching and again coaching is typically used where they didn't violate a policy but we're saying hey do better you can do this this is a better option I can think of one you know coaching recently where we like when practical we tell you to make sure the
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",65,1,5,phi-4,SPEAKER_02,4018.2,in 2018 is when we first started having body cams or having every officer wear body cams can you tell us a little bit more about the policy and the practice for police officers and body cams as far as when they're turned on when the
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",70,2,5,gemma-4-4b;phi-4,SPEAKER_05,4538.28,say right now Thank You mayor sir Archie I also want to extend a thank you for chief Mendez to take that opportunity to come and give us the information and stats of what is going on in our community in reference to crime as well as unfortunately children that are carrying weapons that can cause dam
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",73,2,5,ministral-8b;phi-4,SPEAKER_08,4592.84,favorite plural way to say it why why that's happening can I just kept follow up with councillor Diaz about the funding that you mentioned councillor yeah I did find it this is a proposal from the Shapiro administration to add ten million dollars to the budget that is currently being considered it w
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",88,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_17,5252.81,And what is the expected timeline for receiving funding and completing these replacements? I don't know if I missed it.
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",90,1,5,gemma-4-4b,SPEAKER_08,5297.67,current administration but that is a request that mayors are bringing to the new administration regarding that timeframe of 10 years.
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",95,2,5,gemma-4-4b;phi-4,SPEAKER_00,5403.16,understands everything that's going on but as I come to these meetings and I hear about these resolutions it makes me want to ask more questions at the last council meeting we are approved to go for pen best I think for nine million dollars is that correct no okay yeah it was nine point one thank yo
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",96,1,5,phi-4,SPEAKER_08,5490.5,do we know where that may be they're my questions a couple of those questions if you want me to um and i'm going to invite you so first part we don't know if we're going to get a grant or a loan yet this bird we have to apply okay and there's a certain amount of money that penvest has through the st
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",97,1,5,phi-4,SPEAKER_09,5552.59,i can't remember i'm sorry we're assuming it's going to be between 12 and 15 million dollars what all told total at the value of the dollars in the respective years and so
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",98,1,5,phi-4,SPEAKER_08,5569.09,that that is why we we don't know if we're even going to get any grant funding or if they're only going to have a lot of appropriate funds for a loan but we're just talking in this resolution we are just talking about about lead-mine replacement. The previous resolutions did not have to do with lead
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",100,1,5,ministral-8b,SPEAKER_00,5634.27,"That's why I didn't understand why I had to ask council meetings. We just went for $9 million. If we knew we were going to go from Penvest, I think they counted $9 million in the budget, if I'm correct. Why wasn't we asking for more when we got two more items of resolutions here? And we're paying ad"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",108,1,5,phi-4,SPEAKER_09,5863.66,the funds we pay for our water are rate payers right here so including those non-city residents so the the debt service that for funds that are borrowed to do capital work in the in the water
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",109,1,5,phi-4,SPEAKER_14,5875.34,fund or the wastewater fund is paid for by those rates just for clarification
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",112,1,5,ministral-8b,SPEAKER_07,5920.54,our next presentation okay the um 6 000 to 27 000 per line for uh the unit replacement and do you know what contractors were put on these or is that the cities those will be those will be competitively bid and because there are uh currently residents that are paying this amount because there were so
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",114,1,5,phi-4,SPEAKER_07,5976.21,that cost and also um yeah i'll just leave it at that okay but this has been ongoing conversations this is not something that you're presenting as a resolution today actually there was 7.1 million dollars that was received from a grant for this issue that's different or is the 9.1 along with the 7.1
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",119,2,5,gemma-4-4b;ministral-8b,SPEAKER_14,6246.74,"Thank you, Director Campbell. Just a quick question. So the interim financing, is that being pursued due to the urgency of this particular project?"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",132,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_03,6569.48,you council president uh counselor matt uh thank you thank you uh director cannibal um counselor council president uh started kind of getting into the question i was going to ask but given that the water is used by other municipalities um are there any inner municipal agreements that he could try to
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",134,1,5,qwen3.5-9b-q6,SPEAKER_03,6658.98,"Thank you, and I appreciate that. I would hope that the city isn't taking the majority of the burden. I understand we own the infrastructure, and it's a city asset, but I do feel that other municipalities should be stepping up and paying their fair share as well. So whether that's through rate chang"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",136,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_17,6721.91,thank you just a quick question and what impact what financial impact there is in on the waterways for the residents for the waterways rates for the rates this is part of
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",138,2,5,gemma-4-4b;phi-4,SPEAKER_17,6870.76,"It will raise for the residents anyway, right?"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",140,2,5,ministral-8b;phi-4,SPEAKER_17,6881.43,"And this reimbursement, will it affect the city's overall debt?"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",149,1,5,gemma-4-4b,SPEAKER_00,7028.54,"We're talking about both Resolutions 28 and 29, is that correct? Or are we just talking about 20? Okay, so we're talking about two. Okay, so I think Council, I think you're all asking the right questions. I do believe that no one's trying to say this is not a need. We understand the water. home rule"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",150,1,5,gemma-4-4b,SPEAKER_08,7159.84,impact on the homeowner and the taxpayer i could just say i hear your concerns and frustrations miss bird i think that the way that this is set up is that we have to borrow the money send the money put the projects in the ground and then go for rate increase to then pay ourselves back and when we go
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",172,1,5,gemma-4-4b,SPEAKER_09,8017.32,a huge park it's certainly nothing like reservoir or we muster or Buchanan but we are able to pack a lot of in very interesting activities in even that
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",175,1,5,ministral-8b,SPEAKER_07,8057.97,"you had mentioned that people's ideas are in order to cut waste or cut funding or try to save as much are you using city residents workers skilled workers Thaddeus Stevens you know people that are actually and you know in the city that can do these for less costs in terms of looking for contractors,"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",182,1,5,phi-4,SPEAKER_09,8456.94,isn't for the actual improvements that is correct so the nature of master planning is that it means reaching out to the community which has been as i understand it and please correct me if i'm wrong has been hungry for this work to be done for several years anyway but things have changed throughout 
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",183,3,5,phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_14,8539.35,and recreation master plan I just want to agree with mr. Campbell when he said
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",185,4,5,ministral-8b;phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_07,8639.85,yeah and i just want to piggyback on that because i have been asking the mayor since she first took this position um that my concern was reservoir park we talked about this in the beginning of her becoming mayor so there are specifically you know things such as the playground so I don't know if it w
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",186,1,5,phi-4,SPEAKER_09,8763.44,this is a master planning effort it's not the design effort the master planning effort means reaching out to the local community to adjacent neighbors to others who may may use the park for whatever reasons they might want to and identify what is of interest to them what are the space requirements f
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",190,3,5,phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_01,9144.6,you Tony that's just 700 block in New Holland Avenue I don't have a problem with us approving the grant application I think it's worth applying for and seeing where it goes but I do think that miss Byrd is making a good point about parks in the southeast in general i think miss gomez is as well um y
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",193,2,5,gemma-4-4b;phi-4,SPEAKER_16,9224.53,"Thank you, Council President. Community planning has one item on the agenda this evening. It's administration bill number 3-2025 authorizing the sale of real property. And that's me,"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",195,1,5,gemma-4-4b,SPEAKER_16,9316.69,to know what was the the process before was that we would do a resolution and and said and then once we went and got into the beginning of january that allowed us the abilities to change the the
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",197,1,5,ministral-8b,SPEAKER_16,9390.74,yeah would counsel still have to approve the methodology if there was a property
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",198,1,5,phi-4,SPEAKER_02,9417.2,that the city wanted to sell or is that to the administration to determine which route they want to go to sell the property I it is my understanding and I
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",199,1,5,phi-4,SPEAKER_08,9427.34,have to actually go back and check I have to read it again because I read it a day ago and I'm just not sure that I'm a hundred dollars but what I think is that when we bring the council property or or want to change how we have a property for sale we would need to get a council's approval for this 
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",200,1,5,phi-4,SPEAKER_02,9454.6,great just for the next meeting if we could just have that yeah i think it's in the ordinance if
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",202,1,5,phi-4,SPEAKER_05,9464.62,to misspeak thank you mary so currently i mean the way it's it's right here i think it's number three it would provide compensation to be paid to the real estate broker is that what we're doing
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",208,2,5,ministral-8b;phi-4,SPEAKER_05,9532.95,work for their services currently yeah we do the same no we do currently we're precluded from using a real estate broker exactly thank you very much that's what i needed to know okay councilman
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",211,2,5,ministral-8b;phi-4,SPEAKER_16,9614.6,would come to council when we wanted to use a realtor questions from the council as a whole
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",212,1,5,gemma-4-4b,SPEAKER_03,9624.89,"Thank you, Councilor Craig. I know this is the first reading, and this is just a committee, but I do have some questions around what the process would look like, the selection of the realtor. Also, I understand it would expand the possible market for a property to be sold, but I do think that there "
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",223,2,5,qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_08,10299.23,like a business and government should operate like a government it was
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",224,2,5,qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_01,10309.72,disapproved by this County Planning Commission my apologies no they they approved Planning Commission approved I'm just expressing the frustration we
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",226,1,5,gemma-4-4b,SPEAKER_01,10366.34,change the process just yet and pausing this three months we we need to have bigger community community conversation about the idea of changing these public processes thank you that's what we're
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",228,1,5,qwen3.5-9b-q6,SPEAKER_08,10405.31,away and at the same time I would say that we're also trying to pay for a lot of things this is a conversation about the future use of this parcel there there was no we sent it out to every housing organization in the city that had been doing work there were no proposals that came from any housing n
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",229,2,5,ministral-8b;qwen3.5-9b-q6,SPEAKER_07,10485.53,and the city is in desperate need of a low-income subsidized housing and I don't think that HUD or the Housing Authority would be more than happy to grab this to put some housing for the people in the city of Lancaster they are desperate there's more and more homeless people out there so I don't thi
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",233,2,5,gemma-4-4b;phi-4,SPEAKER_07,10695.66,"Just one quick question. November 18th through the 19th, is that like a marked date representing anything in the history of Puerto Rico that we can raise it on that date, or can you accept a more historical date?"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",234,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_13,10714.3,"Councilor Arroyo, this date was chosen for a particular reason?"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",8,4,5,gemma-4-4b;ministral-8b;phi-4;qwen3.5-9b-q8,SPEAKER_05,865.44,questions from the committee if I may come 30s I have just one question there was a I believe ten million dollar grants for cities that may want if they're struggling in some area and that was by governor Shapiro are you aware that are you looking into that grant at all yeah i'm not sure which grant
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",10,1,5,gemma-4-4b,SPEAKER_03,910.79,"Thank you, Director Campbell. My question is, do we project that the revenues and taxes will meet the budget for Q1? I know it's still a little bit too early to say, but are we on pace from a revenue side?"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",21,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_17,1349.3,"Thank you, Councilor Arroyo. Thank you, Director Campbell, for the presentation. And are there any projects being delayed or canceled or reduced as a result of this amendment?"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",28,4,5,ministral-8b;phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_01,1507.88,"Thank you. Tony D'Astra, 700 Block New Holland Avenue. I want to echo what Darlene's saying. Municipal government is where we as the people supposed to understand how government functions on all levels. This is the smallest level, so this is the school. And years ago, I was encouraged that, you know"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",29,2,5,qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_02,1578.37,and I think we could present these as well I think these are presented on the website prior to council meetings and prepared for public availability hi I'm
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",33,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_07,1649.15,"in Susie Gomez 100 block the north for a divorce Street. I just wanted to implement for the public, not so much for you guys. What Janet had mentioned, $10 million of the Josh Shapiro fund that was granted to municipalities should have been used. As Tina Campbell mentioned, she's relying on the inco"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",36,1,5,ministral-8b,SPEAKER_05,1791.91,"I just wanted to first inform everyone that, just like President Veque said, there will be no comments during the time that Chief Mendez is doing his presentation. There has been some drastic changes, and I picked that up when Councilor Arroyo ran the budget meeting where there was no comments from "
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",44,1,5,ministral-8b,SPEAKER_03,3426.12,"First, the most recent incident that most people are here for with the March 2nd, given that this involved minors, is there a separate use of force policy and is there a separate reporting standard when it involves minors?"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",48,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_03,3476.36,"Accessibly. Not the reports. Only quarter fours. Well, given that these are quarterly, can we have request reports quarterly to the council, similar to the finance quarterly reports, to kind of go over the use of force within the quarter and the findings? Would that be something that council could r"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",50,1,5,phi-4,SPEAKER_03,3509.2,What incidents happened within this quarter? What were the findings and just a report to counsel?
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",52,2,5,gemma-4-4b;ministral-8b,SPEAKER_03,3521.78,"My last question is, given that you stated that the review is viewed in the lens of an officer that is fully trained, is there any consideration in if this officer had previous incidents or his past or anything like that?"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",55,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_17,3648.43,"Thank you, Councilor Diaz. Thank you, Chief Mendez, for the presentation. uh what immediate steps is the department willing to take in order to increase transparency and"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",60,2,5,gemma-4-4b;phi-4,SPEAKER_06,3860.78,no further question thank you yes if i may she was going to speak first i have one question um i want to just clarify on the the latest update of statistics for use of force in the most recent quarter that's available just to put it in perspective so that was the slide and it's available on the poli
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",63,2,5,gemma-4-4b;phi-4,SPEAKER_02,3922.38,of the arrest so thank you thank you councillor ds um thank you for the report i appreciate it um a couple questions uh regarding to one of the things you mentioned was um after an incident happens um you mentioned the case law that occurred well what type of coaching happens after or does any coach
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",64,1,5,phi-4,SPEAKER_12,3960.95,of the the post review things that we can do coaching and again coaching is typically used where they didn't violate a policy but we're saying hey do better you can do this this is a better option I can think of one you know coaching recently where we like when practical we tell you to make sure the
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",65,1,5,phi-4,SPEAKER_02,4018.2,in 2018 is when we first started having body cams or having every officer wear body cams can you tell us a little bit more about the policy and the practice for police officers and body cams as far as when they're turned on when the
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",70,2,5,gemma-4-4b;phi-4,SPEAKER_05,4538.28,say right now Thank You mayor sir Archie I also want to extend a thank you for chief Mendez to take that opportunity to come and give us the information and stats of what is going on in our community in reference to crime as well as unfortunately children that are carrying weapons that can cause dam
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",73,2,5,ministral-8b;phi-4,SPEAKER_08,4592.84,favorite plural way to say it why why that's happening can I just kept follow up with councillor Diaz about the funding that you mentioned councillor yeah I did find it this is a proposal from the Shapiro administration to add ten million dollars to the budget that is currently being considered it w
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",88,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_17,5252.81,And what is the expected timeline for receiving funding and completing these replacements? I don't know if I missed it.
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",90,1,5,gemma-4-4b,SPEAKER_08,5297.67,current administration but that is a request that mayors are bringing to the new administration regarding that timeframe of 10 years.
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",95,1,5,gemma-4-4b,SPEAKER_00,5403.16,understands everything that's going on but as I come to these meetings and I hear about these resolutions it makes me want to ask more questions at the last council meeting we are approved to go for pen best I think for nine million dollars is that correct no okay yeah it was nine point one thank yo
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",96,1,5,phi-4,SPEAKER_08,5490.5,do we know where that may be they're my questions a couple of those questions if you want me to um and i'm going to invite you so first part we don't know if we're going to get a grant or a loan yet this bird we have to apply okay and there's a certain amount of money that penvest has through the st
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",97,1,5,phi-4,SPEAKER_09,5552.59,i can't remember i'm sorry we're assuming it's going to be between 12 and 15 million dollars what all told total at the value of the dollars in the respective years and so
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",98,1,5,phi-4,SPEAKER_08,5569.09,that that is why we we don't know if we're even going to get any grant funding or if they're only going to have a lot of appropriate funds for a loan but we're just talking in this resolution we are just talking about about lead-mine replacement. The previous resolutions did not have to do with lead
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",100,1,5,ministral-8b,SPEAKER_00,5634.27,"That's why I didn't understand why I had to ask council meetings. We just went for $9 million. If we knew we were going to go from Penvest, I think they counted $9 million in the budget, if I'm correct. Why wasn't we asking for more when we got two more items of resolutions here? And we're paying ad"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",109,1,5,phi-4,SPEAKER_06,5853.18,director campbell just to clarify my point there the the funds that we use to pay for our water property tax our property tax bill that's our water bill is that correct
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",115,1,5,ministral-8b,SPEAKER_07,5920.54,our next presentation okay the um 6 000 to 27 000 per line for uh the unit replacement and do you know what contractors were put on these or is that the cities those will be those will be competitively bid and because there are uh currently residents that are paying this amount because there were so
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",117,1,5,phi-4,SPEAKER_07,5976.21,that cost and also um yeah i'll just leave it at that okay but this has been ongoing conversations this is not something that you're presenting as a resolution today actually there was 7.1 million dollars that was received from a grant for this issue that's different or is the 9.1 along with the 7.1
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",118,1,5,phi-4,SPEAKER_14,6005.46,different and this is for the internal water service line inventory which is still the inventory is still taking place there hasn't been any replacement yet of the internal service line
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",119,1,5,phi-4,SPEAKER_09,6017.22,correct thank you just just as a reference one may want to look on at the list of projects because it's very easy to confuse one penvest application request with another there is a list of projects i believe it's currently on the the project the list of projects for which the capital budget is suppo
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",122,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_14,6246.74,"Thank you, Director Campbell. Just a quick question. So the interim financing, is that being pursued due to the urgency of this particular project?"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",135,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_03,6569.48,you council president uh counselor matt uh thank you thank you uh director cannibal um counselor council president uh started kind of getting into the question i was going to ask but given that the water is used by other municipalities um are there any inner municipal agreements that he could try to
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",137,1,5,qwen3.5-9b-q6,SPEAKER_03,6658.98,"Thank you, and I appreciate that. I would hope that the city isn't taking the majority of the burden. I understand we own the infrastructure, and it's a city asset, but I do feel that other municipalities should be stepping up and paying their fair share as well. So whether that's through rate chang"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",139,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_17,6721.91,thank you just a quick question and what impact what financial impact there is in on the waterways for the residents for the waterways rates for the rates this is part of
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",141,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_17,6870.76,"It will raise for the residents anyway, right?"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",143,2,5,ministral-8b;phi-4,SPEAKER_17,6881.43,"And this reimbursement, will it affect the city's overall debt?"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",152,1,5,gemma-4-4b,SPEAKER_00,7028.54,"We're talking about both Resolutions 28 and 29, is that correct? Or are we just talking about 20? Okay, so we're talking about two. Okay, so I think Council, I think you're all asking the right questions. I do believe that no one's trying to say this is not a need. We understand the water. home rule"
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",153,1,5,gemma-4-4b,SPEAKER_08,7159.84,impact on the homeowner and the taxpayer i could just say i hear your concerns and frustrations miss bird i think that the way that this is set up is that we have to borrow the money send the money put the projects in the ground and then go for rate increase to then pay ourselves back and when we go
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",175,1,5,gemma-4-4b,SPEAKER_09,8017.32,a huge park it's certainly nothing like reservoir or we muster or Buchanan but we are able to pack a lot of in very interesting activities in even that
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",178,1,5,phi-4,SPEAKER_07,8048.11,we're not talking about that one yet okay okay yeah so I could just mention you had mentioned that people's ideas are in order to cut waste or cut funding or try to save as much are you using city residents workers skilled workers Thaddeus Stevens you know people that are actually and you know in th
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",185,1,5,phi-4,SPEAKER_09,8456.94,isn't for the actual improvements that is correct so the nature of master planning is that it means reaching out to the community which has been as i understand it and please correct me if i'm wrong has been hungry for this work to be done for several years anyway but things have changed throughout 
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",186,2,5,qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_14,8539.35,and recreation master plan I just want to agree with mr. Campbell when he said
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",188,4,5,ministral-8b;phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_07,8639.85,yeah and i just want to piggyback on that because i have been asking the mayor since she first took this position um that my concern was reservoir park we talked about this in the beginning of her becoming mayor so there are specifically you know things such as the playground so I don't know if it w
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",189,1,5,phi-4,SPEAKER_09,8763.44,this is a master planning effort it's not the design effort the master planning effort means reaching out to the local community to adjacent neighbors to others who may may use the park for whatever reasons they might want to and identify what is of interest to them what are the space requirements f
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",193,3,5,phi-4;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_01,9144.6,you Tony that's just 700 block in New Holland Avenue I don't have a problem with us approving the grant application I think it's worth applying for and seeing where it goes but I do think that miss Byrd is making a good point about parks in the southeast in general i think miss gomez is as well um y
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",196,1,5,phi-4,SPEAKER_16,9224.53,"Thank you, Council President. Community planning has one item on the agenda this evening. It's administration bill number 3-2025 authorizing the sale of real property. And that's me,"
