condition,meeting,block_id,in_baseline,in_condition,speaker,start,word_count,text
B_size3_off1,"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",68,0,1,SPEAKER_20,4249.42,282,good evening adjust that as needed uh brett stanley i live in mountville but i work in lancaster i spoke last last last meeting i've been here for all of them um i spoke on job creation and lack thereof possibly with the work in creating you know catalysts for the data centers sw at my employer in w
B_size3_off1,"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",71,0,1,SPEAKER_09,4567.32,103,outside the city on the columbia app um i just wanted to request the council's help in pressuring the zoning officer and the mayor and showing up to any of the hearing hearings that are being proposed as i've heard from other sources the zoning officer has no interest in showing up to those and answ
B_size3_off1,"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",77,1,0,SPEAKER_04,4866.22,324,"Just very briefly, wanted to thank our folks for coming out tonight to continue to advocate for how we want our community to be built in the future and sharing information. Also love the graphics that were also brought up here earlier, so thank you for all your hard work on that. One thing I do wann"
B_size3_off1,"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]_standard",33,1,0,SPEAKER_01,974.99,185,resolution is essentially uh entering the city into a cost-sharing agreement with maynham township as many of you may know marshall avenue is along the northern border and southern of the city and the southern border of man i'm township um and it zigzags pretty chaotically and so this kind of allows
B_size3_off1,"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]_standard",49,0,1,SPEAKER_04,1318.33,124,is a resolution that is brought before council on an annual basis it is done because the city tracks water and sewers sewer usage as city properties mostly to detect leaks or unusual usage we don't bill ourselves for this usage the charges are exonerated annually to clear them from the financial acc
B_size3_off1,"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]_standard",55,1,0,SPEAKER_06,1522.2,319,miss geyser do you have anything to add yes thank you thanks for the summary uh the lengthy summary of our long amendments um this evening i just wanted to uh highlight two things um that we are recommending these changes presuming that we will get the 2025 cdbg funding for the city however with the
B_size3_off1,"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]_standard",59,0,1,SPEAKER_08,1740.54,46,"And that is government funding, correct? Yes. OK. The other question would be, you had mentioned increased funding. The $305,000 is being allocated, is that correct? Reallocated. Reallocated. So you're going from 2020 to 2024 to show rejected funds? Can you explain that a little better?"
B_size3_off1,"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]_standard",77,0,1,SPEAKER_01,2097.74,51,"Yes, pretty much the same thing. It's just entering into an agreement with Railway Auditing and Management Services in this case as opposed to Norfolk Southern, which is previous resolution. um yeah just paying the permit fee to allow right of uh use to um replace or to conduct work there"
B_size3_off1,"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]_standard",83,0,1,SPEAKER_03,2325.55,111,i just wanted to report back to the members of council that the government study transition committee did meet on january 29th and went over the purview of our work which is to make sure and ensure the transition to a homework charter moves in a timely manner with both the administrative code and th
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",9,1,0,SPEAKER_17,1633.73,439,just you're already doing it please begin with your block thank you right into the mic and I know that the one is going to be cooled by air instead of water but air cooling could mean significant noise pollution for anyone living within a quarter mile of it the decibels reach well over those conside
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",12,0,1,SPEAKER_26,1854.22,16,evening we will move our next speaker is Amy Ernst good evening my name is Amy
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",15,1,0,SPEAKER_29,2017.86,324,good evening good evening uh john tell tolan first and only block of uh wise app um i don't come here often when i'm here you usually know there's a problem uh there's tons of people here uh counselor bakey i heard what you said and thank you for saying that at the beginning but i still think that m
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",17,0,1,SPEAKER_32,2217.95,304,nelson i live on the 100 block of east lemon and um i wanted to talk about the planned data center as well i think that i have an issue with two major corporations telling us what will and will not be good for our citizens i think that's not for us to decide and i think that we have these data cente
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",22,0,1,SPEAKER_24,2606.54,566,is abby haney good evening good evening my name is abby haney i live on the 600 block of east madison street and i am like so many others here about the ai data centers i have some major concerns um so i want to talk a little bit about electrical usage but so many of you have already made really gre
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",24,1,0,SPEAKER_31,2785.31,258,400 block of east grand street um a lot of people said a lot of things better than i could they did a lot more research than i had time to but i'll just say i'm here to ask you to put our community ahead of outside business interests and to deny this in any way possible these data centers The link b
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",30,1,0,SPEAKER_12,3059.76,526,rachel kruger and i'll admit that while i do live outside of the city itself i do live on greenfield road about a half mile from the proposed data center i appreciate you with providing me a moment to discuss proposed data centers to provide you a little bit of background so you know where i'm comin
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",31,0,1,SPEAKER_25,3220.95,522,next speaker next speaker is Ann Torres good evening hi my name is Ann Torres I live in lettuce but I work in Lancaster years back my friend had a baby through IVF they finally had their baby but over time they noticed that he was having issues breathing in and out of hospitals extensive stays but n
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",38,0,1,SPEAKER_13,3704.84,50,council while uh council president if i may while we're getting the technology situated mayor srachi um i i want to just acknowledge the work of the department of public works in preparing for council the first ever capital plan to be presented this is one of the requirements that
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",40,0,1,SPEAKER_13,3760.16,159,this capital plan which director Campbell and his team are going to discuss tonight is part of is an outcome of the adoption of the home rule charter that requires council to be presented on an annual basis the capital plan in its totality and so you will hear tonight uh related to our storm water o
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",84,1,0,SPEAKER_26,7763.36,16,are things that get delayed thank you so now I'd like to talk about our water
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",93,1,0,SPEAKER_07,8785.04,25,plan specifically good evening good evening Taylor Raymond 500 block of st. Joseph Street is this presentation going to be available on the website that's
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",112,0,1,SPEAKER_04,9520.64,592,i'm from the 100 block of north mary and i didn't initially come to see all of the capital plan but i'm glad i did because a lot of it was actually really interesting and helpful and there also are parts of that that i think apply to the data center one of which is spending four hundred thousand dol
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",117,1,0,SPEAKER_06,9868.24,338,you'll say that you'll do though much concern but not involved with decisions that are made by you but we are sick and tired of hearing your song telling how you are gonna change right from wrong cuz if you really want to hear our views you haven't done nothing and that's the case here we have an op
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",119,1,0,SPEAKER_07,10207.4,308,thank you good evening good evening taylor raymond 500 block of saint joseph street um i'd like to first start by saying that i agree with several community members who have come up and requested a change in our zoning laws to exclude the data center as the wholesale trade and storage. Some place li
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",120,1,0,SPEAKER_09,10382.48,374,Ellen Sloan I live in the first block of North Lyme Street I'm not going to talk about the data center I'm going to talk about something I talked about two weeks ago and I'll keep talking about it until I get some kind of response I'm here once again to speak about ice as you may be aware the budget
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",122,0,1,SPEAKER_19,10551.35,240,"My name is Robert McLean, 123 South Christian. And I'm here, basically, I have a little sign I've been showing around. It's called democracynow.org. You can get that on your computer. What you're talking about, as far as this AI in this area, is the tip of the iceberg. You don't have any idea, and n"
B_size3_off1,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",13,1,0,SPEAKER_18,801.33,622,"This is a change. So thank you, Ramocho, for the insights of the many challenges that are being faced by our refugee and immigrant community. I am here to provide a small update on how the Office of Language Services supports our refugee and immigrant community, especially our neighbors who might be"
B_size3_off1,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",18,1,0,SPEAKER_07,1330.41,30,june 19 2025 as juneteenth in the city of lancaster and calling upon all lancastrians to honor the dignity culture and contributions of african americans to the history and life
B_size3_off1,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",49,0,1,SPEAKER_11,2624.6,34,any comments on this uh this appointment um i was just very impressed with um christopher mr sloth overall um his view on life and um his experience and background thank you very much
B_size3_off1,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",68,1,0,SPEAKER_14,2966.87,16,"I will hear a motion. Council President, if I may, I'd like to nominate Erica Molina-Potter."
B_size3_off1,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",70,1,0,SPEAKER_14,2987.77,182,motioning and seconding counselor Hirsch I was you know impressed with Erica's background in the legal world and this particularly I was impressed by a story she told him which she talked about a time where she kind of had to admit that she made a mistake but felt better about bringing that to light
B_size3_off1,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",73,0,1,SPEAKER_13,3170.42,86,good evening good evening grant sprunger 500 block of st joseph's street thank you i just want to say i'm very happy to be considered but also hearing the background of all the candidates that were interviewed i am happy that there are people that were chosen that were of vapor's backgrounds that ha
B_size3_off1,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",110,0,1,SPEAKER_17,3939.08,148,to respond to your questions yes um i have applied for the lab program numerous times not me my tenants have and they've been ignored delayed or denied these grants are supposedly available none have been available to me or my tenants yet my property still remains condemned in four years so where ar
B_size3_off1,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",119,0,1,SPEAKER_03,4396.64,254,comment period and I just wanted to add the Spanish interpreter that was here for a translation should have been translating via is this being recorded I'm not sure if it's if it's being recorded she should have been used because she was asked to come for the spanish-speaking people in Lancaster cit
B_size3_off1,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",122,1,0,SPEAKER_04,4655.35,57,thank you mayor um and can i ask just a clarifying question because i know that people may have this question it comes up often there's also an addition to street uh improvements uh ugi work going on across the city could you talk a little bit about that and who is doing that and how we
B_size3_off1,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",123,1,0,SPEAKER_02,4672.63,179,know they're doing yes so ugi is an independent contractor you'll often see trucks for miller pipeline that are working in neighborhoods that information is also available on the construction page they are responsible not only for trench repair after they dig holes in the street to replace the gas l
B_size3_off1,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",125,0,1,SPEAKER_11,4864.35,77,to piggyback on what mr daschle said about um for anybody that has not seen the reenactment of living experience at bethlehem church i went in december and i used to play lydia hamilton smith in that reenactment 25 years ago when they first started it it has grown so much since then and it is so goo
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",11,1,0,SPEAKER_10,742.28,295,"us thank you hi everyone my name is Maya McCully I am honored to be here to be part of this amazing event that I never thought would ever happen so I was born and raised in Lancaster I am a graduate of McCaskey my family we came over in 1975 to Fort Indiantown gap. And just thinking about it, like e"
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",21,0,1,SPEAKER_12,1444.22,16,thank you for having me sorry about me being the one conflict we make it work
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",27,1,0,SPEAKER_13,1692.38,14,important now more than ever absolutely thank you theodore counselor craig thank you council
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",33,1,0,SPEAKER_00,1821.23,48,madam president and thank you for your willingness to serve and how would you ensure that the Commission's decisions are applied fairly and consistently under the Home Rule Charter regardless of the position status or political connections of the individuals involved so I think that's where the enti
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",34,0,1,SPEAKER_12,1841.33,120,Commission comes in I'm hoping like any good Commission that there are people from multiple different backgrounds a very diverse Commission of all different ages as well so then when we're looking at you know any policy we can engage with that from a lot of different perspectives and i feel like tha
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",36,1,0,SPEAKER_12,1894.72,126,"Well, in that case, in a situation like this, I have my friends, I have my family, but at the end of the day, I was raised by a Marine, and it's all about the good of the entire community. It's about the good of your entire platoon, and unfortunately sometimes that means that you have to turn your b"
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",37,0,1,SPEAKER_05,1937.22,30,council president and thank you theodore for your uh willingness to serve and answering our questions this evening how do you believe that integrity and honesty and elected officials can
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",44,0,1,SPEAKER_09,2385.78,97,to be clear is that coming our way via email or what is the plan okay okay got it so am i the only one who's able to bring it up or can i forward this now to everyone or because i can't download from this file and try to share it with everybody does it exist in a pdf format okay great thank you it d
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",56,0,1,SPEAKER_13,4048.15,58,and just to say thank you thanks for all you do I just the only thing I wanted to add is I loved the innovative partnerships that were seen particularly at the City Housing Authority I just thought that was brilliant and the ways you guys did that to get more out of it I thought that was
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",57,1,0,SPEAKER_06,4070.22,83,really excellent so thank you mayor's Raji thank thank you I just want to when we receive the award in 2019 we are one of the high-impact HUD recipients which made us one of a handful on par with Detroit and Baltimore the state of Rhode Island and Houston and I don't mean to put you on the spot but 
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",58,0,1,SPEAKER_07,4101.13,225,bragging rights thank you mayor and i just appreciate so much your support and how much you've talked us up because it has helped in a lot of different a lot of different areas and the resources that we've received we are one of the top performing we actually um you know as i mentioned we decreased 
B_size3_off1,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",81,1,0,SPEAKER_05,4726.77,22,councilor med uh the time of the flag raising i believe it is 10 a.m i would have to get back to
B_size3_off1,"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]_standard",43,0,1,SPEAKER_12,3143.05,422,for sure is people just coming and enjoying the space it's a lot more open to people who are there to just relax and read or work with their ipads or their laptops it's just a much more open and lighting space we have more computer access than we did at the old building it's a much more open area al
B_size3_off1,"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]_standard",44,0,1,SPEAKER_03,3293.51,72,the building thank you so much it's it's always nice to hear about opportunities for spaces where people can just exist without the expectation to spend any money because we don't have any of those besides the library and that's why it's so valuable so thank you for that counselors any questions or 
B_size3_off1,"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]_standard",45,1,0,SPEAKER_08,3321.46,173,one other piece in answer to that question too uh is that i think being on ewell plaza and all of the community events that are happening in ewell plaza and bins park is growing awareness in the community of the library because it's right there and other than a couple i started with the library less
B_size3_off1,"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]_standard",47,0,1,SPEAKER_10,3382.93,146,remember we had a little incident last march with uh story hour and i want to say that although it was horrible as we went through it it has brought the staff together the silver lining is we all realized what the mission and vision were and work very hard now to stay within that and to be welcoming
B_size3_off1,"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]_standard",67,1,0,SPEAKER_01,3799.62,81,craig anything additional on those two items honestly nothing more than what was said in the resolution um the 344 west chestnut street is i think one of the things that we should point out is that the west elevation facing north it's going to be mounted on the west elevation point facing north char
B_size3_off1,"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]_standard",74,0,1,SPEAKER_00,3957.49,35,no this one should be approved at the next meeting um the the water main financing will be the first reading will be next meeting so that one confusing all the financing ones thank you
B_size3_off1,"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]_standard",75,1,0,SPEAKER_03,3972.78,203,director campbell thank you and i just want to say to director campbell and director stephen campbell as well because i know they've worked closely together on this that i'm incredibly proud that we have this capital budget in front of us it's really it's kind of a momentous thing and i'm glad that 
B_size3_off1,"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]_standard",103,1,0,SPEAKER_10,4903.37,43,I would also say that increase in donor support to if we weren't doing something that they wanted. I don't think we would get the amount of money that we got in the in 2024 for the support of the work we do.
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",22,0,1,SPEAKER_11,1656.28,13,question you did give a timeline the project okay completion maybe okay thank
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",30,0,1,SPEAKER_11,1814.88,17,appreciate that number four staff report to planning commission um so i was just going to give
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",32,0,1,SPEAKER_02,2014.11,31,there's a 18th century building that's part of their project as part of that minor plan does that include making sure that they're maintaining that structure to ensure it doesn't deteriorate
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",33,1,0,SPEAKER_07,2024.85,58,over the two-year period that's a great question i don't think that that is part of the minor plan but it is on their property and so they would i mean as just part of it being your own parcel you would have to you would have to maintain it right so what can the public expect if
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",34,0,1,SPEAKER_09,2047.47,21,it were to come to be that mosaic never builds on the site um i'm not entirely sure they still own
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",40,0,1,SPEAKER_10,2165.39,31,thank you other business a public hearing sycamore ridge a public hearing to discuss the tentative plan for sycamore ridge is scheduled for september the 17th 2025 starting at 5 30.
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",41,1,0,SPEAKER_03,2187.9,83,this is this is just for remembering that the next meeting we will have a public hearing I wasn't sure if how frequently you guys have held public hearings and if you want some guidance on the process for that public hearing because there's different requirements that you would need to meet and beca
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",54,0,1,SPEAKER_11,2542.9,20,a public hearing a data center pretty much the same so um today uh we received a memo from chris
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",66,1,0,SPEAKER_08,3098.26,330,stolzbus and mr stevens over here um i'm open to the idea of not having a public hearing if we're not going to get the participation of the administration which i also think is a disappointment uh disservice to the residents of the city of lancaster who want transparency i feel like what we were doi
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",67,0,1,SPEAKER_13,3230.02,74,as well um agreed i don't think we need a public hearing but and especially because i think the public may be confused about our role but i do think we should keep it as an agenda item possibly on that october first meeting for having it um still just to allow for it to be part of the conversation a
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",68,0,1,SPEAKER_02,3260.53,310,i mean i think it needs to be something that we continue just again just just to be able to provide information to the public about what the city is doing i mean i think as uh lauren and as staff has already uh shared there there are irons in the fire um that the city is has responded to public inpu
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",70,0,1,SPEAKER_05,3391.8,66,forward in light of transparency are we able to put this schedule that's on the bullet on the faq page just so it's easily accessible by the public to be able to see when these milestones are being met and to know when um key participation opportunities will present themselves what does it mean you 
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",78,0,1,SPEAKER_02,3671.31,57,it as a body i would i would say just receive in memo form a written summary of the process that was used to make the determination by the zoning officer is that is that like kind of a level because i can appreciate that there needs to be a level of specificity to make our request
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",86,0,1,SPEAKER_13,4075.6,23,can this memo be made public or is that not do we have a motion on the floor okay mr chair i would
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",94,0,1,SPEAKER_12,4378.31,86,understand the background information to that decision i want to echo commissioner dastra and maybe request like can we just have a standing agenda item where it's an update on where we're at with updating the zoning code because i feel like we go kind of months without hearing and i think it's real
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",96,1,0,SPEAKER_04,4444.37,17,a timeline perspective and remind me when your proposals are due and when is the decision being
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",97,0,1,SPEAKER_05,4459.8,269,made and then following the awarding of that project will it kick off immediately or is that pending the schedules that the consultants have do you think the speed of the like ability of the consultant to get to work would influence that decision at all or is that decision solely going to be made ba
B_size3_off1,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",100,0,1,SPEAKER_12,4654.39,207,"All right, and I also have my final statement. I do, I wanna just, you know, I think it's good that we're holding off on the hearing. I think it's good that we're keeping the data center as an agenda item, and I think we should revisit the idea of requesting a memo. mean i don't think it is i don't "
C_size1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",21,0,1,SPEAKER_12,1344.78,77,because of it thank you for presentation director Campbell I'm sure we'll get more to this in the March meeting in the first and second reading but can you just talk a little bit about the timeline of some of these projects and compared to the distribution of some of the funds through the disburseme
C_size1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",37,0,1,SPEAKER_04,1966.69,90,yeah um so the one that i will point out is the vision zero work um so that is uh most of that that i believe it's 2.1 of the 2.7 million um is actually for matching funds for the grant that we received for the safe streets for all um we're currently unclear if we'll receive all of that federal fund
C_size1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",55,0,1,SPEAKER_01,2672.41,95,and i will pass it over to jen thank you hopefully i didn't push the button all right uh thank you madam mayor and student castle i'm pleased to speak to you tonight about the community development block grant substantial amendment process hopefully my screen will continue to glow up there okay befo
C_size1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",59,0,1,SPEAKER_12,3414.85,106,presentation just a question about some of the moves that were made due to staffing levels not being filled such as Department engagement or city program administration and future plans you know these positions are restaffed you know will we go after those dollars to cover you know those positions b
C_size1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",64,0,1,SPEAKER_02,3591.11,43,around the 2026 23rd plan wonderful just a quick comment I'll say from voting on this item just because the organization that I work for assets is listed as an organization in the action plans same from voting thank you are there any
C_size1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",65,0,1,SPEAKER_05,3612.06,15,further comments or questions in regards to the funding for the CBD G and housing
C_size1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",67,0,1,SPEAKER_01,3631.16,20,that we have good question the only funding that i saw that went to the shelters was from 2021 that
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",11,0,1,SPEAKER_12,541.73,189,"Well, I think you've already been doing it. You know, like I said, just the way that Lancaster City has changed just in the last few years and certainly over the last 10 or 15 years or 20 years, I mean, it looks completely different than when I grew up. There's always a new coffee shop opening up, a"
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",19,0,1,SPEAKER_08,1230.89,1037,Thank You Tina Good afternoon. I'm sorry. Good evening members of council. Thank you for being let me be here tonight to work with you the presentation I handed out to you and is Will look similar for those of you who might have been here about three years ago when the last you know multi-purpose fi
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",23,0,1,SPEAKER_08,1671.05,864,yep so the the box at the top again is the is the bond issue or the or the budgetary impact as Tina indicated the water transmission line is kind of right around the corner if you will so we wanted to you know kind of show you what's right around the corner so for the in the water fund only that wat
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",28,0,1,SPEAKER_16,2157.1,61,point does that am I saying that accurately enough okay if you can talk a little bit about the budgetary impact in the individual funds and how from a budget from a financial planning and you know for the next five years how are these budgetary impacts also being looked at from a planning side yeah 
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",36,1,0,SPEAKER_05,2591.29,109,director Stephen Campbell I want to kind of call back to something we've been talking about the last couple of years on council and it relates to what you were just mentioning as far as planning goes but I just could you just talk a little bit about the ways that we have been planning for like these
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",46,0,1,SPEAKER_02,2930.35,32,as well thank you thank you council please thank you director campbell director campbell and mr peck for the thorough presentations um any questions from the public sorry can i just mention
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",53,1,0,SPEAKER_04,3123.36,7,"Question, do we know how far back?"
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",56,0,1,SPEAKER_05,3166.69,55,protests against the police officers around 2020 so you said from 2018 there's a category of citations animal complaints abandoned vehicles and permits and related applications on this list so public as well isn't there public citations meaning traffic and non-traffic it says i don't beyond that i d
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",61,0,1,SPEAKER_03,3341.19,197,good evening health members i'm pleased to be here today to share in updating you all as director campbell mentioned on lancaster's urban forestry program this is an effort that continues to grow in both impact and engagement at the heart of this work is our new urban forester mike meyer who in just
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",70,0,1,SPEAKER_06,4329.64,13,I will let the residents know in that area. Thank you. Thank you.
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",74,0,1,SPEAKER_06,4535.43,35,remember which tree i really like the albavita tree no but the geometry is very once it starts getting larger it's really hard to maintain but thank you so much for that information no problem
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",77,0,1,SPEAKER_10,4761.47,17,questions from the public thank you so much it was wonderful thank you thank you very much
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",89,0,1,SPEAKER_11,5318.6,107,"on this for quite a while now, the three parties like CEREC, SDOL, and the city. The main purpose here is ensuring that we are creating a holistic campus at this particular site around Brandon Park so that we're able to provide the park amenities, recreation services, and a new school to serve the g"
C_size1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",108,1,0,SPEAKER_06,5676.86,3,Puerto Rico citizen
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",9,1,0,SPEAKER_14,758.69,51,"Councillor Kleeks. Just also want to add, many of you know Keisha through her work as an artist here in Lancaster City. And as someone that serves on that board, I think it's really important that we have local artists on that board. So I'm really glad that we're reappointing Keisha."
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",14,0,1,SPEAKER_11,1685.05,193,me entertain those can i just add quickly too i don't don't think anybody from dpw is here from public works but i did just want to say the timeline might seem a bit aggressive and we did talk to them about that quite a bit so it sounds like we will have three different contractors doing the work be
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",20,0,1,SPEAKER_14,1945.78,72,and this might not be the question for you this might actually be more of a question for public works but i just see that there's an estimated four to six month delivery for the materials how solid do we feel about that given i mean i don't know what if anything is being sourced from overseas but wi
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",38,0,1,SPEAKER_14,2316.07,80,question um if it were up to me i would probably you know if i could wave a magic wand me personally i would take uh traffic off of the west grant street portion by market but i do know that some box trucks do go through there every now and then are we OK with the height in light of that. I don't kn
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",55,0,1,SPEAKER_10,3082.38,47,two and a half to three million yes for the day center alone to to put the wall up and lower the ceiling a little bit and put in the unit for heating and cooling is about a hundred and forty thousand thank you are there any
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",61,0,1,SPEAKER_05,3249.77,362,"good evening council good evening mayor this is a culmination of a two-year project that I've been working on with the Lancaster County Emergency Management Agency and fellow municipal leaders in emergency management to update the county hazard mitigation plan. The original plan was written in 2019,"
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",63,0,1,SPEAKER_05,3430.73,86,two FEMA grants that we were eligible for one of the grant one of the grants is no longer active the grant that is still active is the hazard mitigation grant program it's centered around natural hazard resistance which is like earthquakes floods winter storms summer storms that kind of stuff so not
C_size1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",72,1,0,SPEAKER_09,3631.79,19,chief mendez and i uh to have a discussion um per your comments at the last meeting i haven't
